web-scraper-order,web-scraper-start-url,Daftar singgah di canggu,Daftar singgah di canggu-href,Nama vila,Lokasi,Ratting,Fasilitas,Nilai Kebersihan,Nilai Keakuratan,Nilai Check in,Nilai Komunikasi,Nilai Lokasi,Nilai ekonomis,Harga,Minimum menginap,Source_Location,Daftar sinngah dibingin,Daftar sinngah dibingin-href,daftar singgah di jimbaran,daftar singgah di jimbaran-href,Daftar singgah di ungasan,Daftar singgah di ungasan-href,daftar singgah di sidemen dan kintamani,daftar singgah di sidemen dan kintamani-href,daftar singgah di uluwatu,daftar singgah di uluwatu-href,Daftar singgah di pererenan,Daftar singgah di pererenan-href,Daftar singgah di seminyak,Daftar singgah di seminyak-href,Daftar singgah diubud,Daftar singgah diubud-href,daftar singgah di nusa dua,daftar singgah di nusa dua-href
1750280155-11,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/1288923770271872874?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004226063158&source_impression_id=p3_1750279922_P3lEnmIVLbzIU7xt&previous_page_section_name=1000,Vila Canggu Terang Matahari yang Luas Cocok untuk Keluarga,"Kecamatan Kuta Utara, Bali, Indonesia",4.4,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.9,4.6,4.7,4.2,4.6,4.2,¥ 26.876,untuk 1 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750280175-12,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/1045315836255293542?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387883048&source_impression_id=p3_1750279922_P3nfZssZin4z5Bj_&previous_page_section_name=1000,Kamar Tepi Kolam Renang yang Damai: Jantung Ketenangan Canggu,"Kecamatan Kuta Utara, Bali, Indonesia",5.0,11 tamu ·  · 5 kamar tidur ·  · 5 tempat tidur ·  · 5 kamar mandi,4.6,4.9,4.7,4.9,4.4,4.6,¥ 22.658,untuk 1 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750280195-13,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/1240272734605130668?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387885635&source_impression_id=p3_1750279922_P3FoaU9v0Mv6fT7N&previous_page_section_name=1000,Prime Canggu Vast Room w/ Pool & High - Speed Wi - Fi,"Kecamatan Kuta Utara, Bali, Indonesia",4.64,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.7,4.8,4.9,4.9,4.8,¥ 7.775,untuk 2 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750280215-14,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/1299719182878829011?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387888410&source_impression_id=p3_1750279922_P3K8e-3iybwo6l6F&previous_page_section_name=1000,Guesthouse Indah di Canggu dengan Adegan Sawah,"Kecamatan Kuta Utara, Bali, Indonesia",4.96,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,5.0,5.0,4.8,5.0,4.8,¥ 5.470,untuk 1 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750280235-15,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/36114848?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387892549&source_impression_id=p3_1750279922_P3FhIKqaSdwd_vQb&previous_page_section_name=1000,Tempat Menginap di Guesthouse Spirited dengan Pemandangan & Kolam Renang Ricefield,"Kabupaten Badung, Bali, Indonesia",4.82,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.9,4.8,4.8,4.8,¥ 5.715,untuk 1 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750280255-16,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/1185066946294389838?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004457547165&source_impression_id=p3_1750279922_P3OAS6_iPg-682kO&previous_page_section_name=1000,Digital Nomad's Dream Canggu Villa dengan Wi - Fi Cepat,"Kecamatan Kuta Utara, Bali, Indonesia",4.85,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 2 kamar mandi,4.7,4.8,4.7,4.7,4.8,4.7,¥ 17.205,untuk 1 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750277740-1,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Clifftop Bingin 2BR Villa dengan Pemandangan Laut yang Menakjubkan,"Kecamatan Kuta Selatan, Bali, Indonesia",4.87,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.8,4.9,4.8,4.8,4.9,4.8,¥ 84.618,untuk 2 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1182859004307865406?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044486154&source_impression_id=p3_1750277701_P3mXbMI144I_LwJO&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750277760-2,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Suaka Peselancar dengan Kolam Renang di tepi Dreamland Waves,"Kecamatan Kuta Selatan, Bali, Indonesia",4.78,"4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2,5 kamar mandi",4.9,4.9,4.9,4.8,4.6,4.9,¥ 78.847,untuk 2 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1234374377152608074?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044489213&source_impression_id=p3_1750277701_P3XxfzdqHIuurZKS&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750277780-3,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Private Pool Villa only Short Walk to Bingin Beach,"Kecamatan Kuta Selatan, Bali, Indonesia",4.9,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,4.9,5.0,5.0,4.9,4.9,4.8,¥ 91.176,untuk 2 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1225030257850706990?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044490434&source_impression_id=p3_1750277701_P3XexuNSSnDNEMfk&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750277800-4,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Kolam Renang Beberapa Langkah dari Tempat Terbaik di Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.88,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.8,4.9,4.9,4.9,4.8,4.7,¥ 39.242,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/907486068563658231?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044490945&source_impression_id=p3_1750277701_P3gHysqGB0hHxPU0&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750277820-5,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Bingin Villa dengan Kolam Renang Ideal untuk Liburan Romantis,"Kecamatan Kuta Selatan, Bali, Indonesia",4.92,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.9,4.9,5.0,4.9,4.9,4.8,¥ 31.198,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/848766870319274997?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044491061&source_impression_id=p3_1750277701_P3dnu5sUf9DWvTYn&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750277840-6,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila yang menenangkan di dekat Pantai dan Tempat Makan Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.93,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.9,4.9,4.9,4.9,4.8,4.8,¥ 81.767,untuk 2 malam,1. Bingin,,https://www.airbnb.co.id/rooms/876476348992921165?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044491137&source_impression_id=p3_1750277701_P3dR6QWZKZ0Bll_1&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750277860-7,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Wavefront Sanctuary: Bingin's Coastal Retreat,"Kecamatan Kuta Selatan, Bali, Indonesia",4.59,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.7,4.3,4.7,4.6,4.6,¥ 12.394,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1201076382157875178?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004212920685&source_impression_id=p3_1750277701_P3Ts2apDtrrK_kXk&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750277880-8,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Surfer's Paradise: Coastal Bliss by Bingin Beach,"Bingin, Bali, Indonesia",4.51,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.6,4.5,4.3,4.6,4.5,4.4,¥ 7.685,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1036571442823338002?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004212924293&source_impression_id=p3_1750277701_P3AbPhqQP81TYJEC&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750277900-9,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Bingin Surf Haven: Berkendara 4 Menit ke Pantai Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.94,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.8,4.8,4.8,4.9,4.8,4.8,¥ 18.414,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1223190849897895381?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387847060&source_impression_id=p3_1750277701_P3wTWS1D3pj0YCc-&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750277920-10,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Surf's Retreat: 15 menit berjalan kaki dari Pantai Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.65,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.6,4.7,4.8,4.8,4.7,4.6,¥ 13.606,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/44106402?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387848029&source_impression_id=p3_1750277701_P3VU4wcwlj8Oq42L&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750277940-11,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Surga Tersembunyi: Liburan Kolam Renang Dekat Pantai Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.81,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.8,4.8,4.8,4.8,4.4,4.8,¥ 9.367,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1177065536447337398?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387851111&source_impression_id=p3_1750277701_P3q9WmsBhALpVfBw&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750277960-12,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Penginapan Oceanview yang Ditinggikan di dekat Tebing Pantai Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.63,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.5,4.7,4.7,4.7,4.8,4.6,¥ 20.818,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1183632865710682216?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387853974&source_impression_id=p3_1750277701_P3_0zdhq49K7qVFE&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750277981-13,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Clifftop Infinity Pool Retreat Above Bingin Waves,"Kecamatan Kuta Selatan, Bali, Indonesia",4.72,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.7,4.8,4.9,4.6,¥ 36.233,untuk 2 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1188686846270257020?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387854615&source_impression_id=p3_1750277701_P3dX7TYS04zO5CsP&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750278001-14,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Bingin Cliffside Stay w/ Infinity Pool Ocean View,"Kecamatan Kuta Selatan, Bali, Indonesia",4.74,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,4.9,4.8,5.0,4.9,4.7,¥ 16.899,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1188720738332339476?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387854983&source_impression_id=p3_1750277701_P3P0jz-bFCb51tCX&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750278021-15,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Oceanfront Sunset Stay Bertengger di Bingin Clifftop,"Kecamatan Kuta Selatan, Bali, Indonesia",4.79,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.8,4.9,4.8,4.8,4.9,4.7,¥ 18.479,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1183596222998036208?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387855476&source_impression_id=p3_1750277701_P3uvzzKod3p-Ja7b&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750278041-16,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Mewah Dekat Bingin's Shores dan Savory Spot,"Kecamatan Kuta Selatan, Bali, Indonesia",4.69,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.6,4.9,4.8,4.9,4.8,4.8,¥ 74.818,untuk 2 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1323677534028223911?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387857677&source_impression_id=p3_1750277701_P3X69QQU6eiiGpVV&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750278061-17,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Beach Vibes Retreat Minutes from Bingin Waves,"Kuta Selatan, Bali, Indonesia",4.87,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,4.9,4.9,4.8,4.7,4.8,¥ 15.960,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1223670370586189386?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387859422&source_impression_id=p3_1750277701_P3ybCasXeGUPFA1E&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750278081-18,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Ocean Breeze Retreat Near Bingin's Surf Scene,"Kecamatan Kuta Selatan, Bali, Indonesia",4.87,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.8,4.9,4.9,4.9,4.7,4.9,¥ 14.469,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1235271287133917350?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387859868&source_impression_id=p3_1750277701_P3I3QT6po16RlIS6&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750278101-19,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,"Penginapan Tepi Kolam Renang yang Santai, Dekat dengan Pantai Bingin","Kecamatan Kuta Selatan, Bali, Indonesia",4.71,3 tamu ·  · 1 kamar tidur ·  · 2 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.8,4.7,4.7,4.7,¥ 15.512,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1244648700383129711?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387863298&source_impression_id=p3_1750277701_P3CSThIuk4BH-Q29&previous_page_section_name=1000,,,,,,,,,,,,,,,,
